"CUSIP.NO";"X";"ISSUER.NAME";"ISSUER.DESCRIPTION";"STATUS"
"269246 95 1";"";"E TRADE FINANCIAL CORP";"PUT";" "
"26927E 10 4";"*";"EVO PMTS INC";"CL A COM";" "
"26927E 90 4";"";"EVO PMTS INC";"CALL";" "
"26927E 95 4";"";"EVO PMTS INC";"PUT";" "
"26929N 10 2";"";"EVI INDUSTRIES INC";"COM";" "
"26942G 10 0";"";"EAGLE BANCORP MONT INC";"COM";" "
"269451 10 0";"";"EAGLE CAP GROWTH FD INC";"COM";" "
"26952G 10 7";"";"EAGLE FINL BANCORP INC";"COM";" "
"26958J 10 5";"";"EAGLE GRWTH & INCOME OPPTY F";"COM SHS BEN IN";" "
"26969P 10 8";"*";"EAGLE MATERIALS INC";"COM";" "
"26969P 90 8";"";"EAGLE MATERIALS INC";"CALL";" "
"26969P 95 8";"";"EAGLE MATERIALS INC";"PUT";" "
"269796 10 8";"*";"EAGLE PHARMACEUTICALS INC";"COM";" "
"269796 90 8";"";"EAGLE PHARMACEUTICALS INC";"CALL";" "
"269796 95 8";"";"EAGLE PHARMACEUTICALS INC";"PUT";" "
"269808 10 1";"";"EAGLE PT CR CO LLC";"COM";" "
"27032D 30 4";"";"EARTHSTONE ENERGY INC";"CL A";" "
"27579R 10 4";"*";"EAST WEST BANCORP INC";"COM";" "
"27579R 90 4";"";"EAST WEST BANCORP INC";"CALL";" "
"27579R 95 4";"";"EAST WEST BANCORP INC";"PUT";" "
"27616P 10 3";"*";"EASTERLY GOVT PPTYS INC";"COM";" "
"27616P 90 3";"";"EASTERLY GOVT PPTYS INC";"CALL";" "
"27616P 95 3";"";"EASTERLY GOVT PPTYS INC";"PUT";" "
"276317 10 4";"";"EASTERN CO";"COM";" "
"277276 10 1";"*";"EASTGROUP PPTY INC";"COM";" "
"277276 90 1";"";"EASTGROUP PPTY INC";"CALL";" "
"277276 95 1";"";"EASTGROUP PPTY INC";"PUT";" "
"277432 10 0";"*";"EASTMAN CHEMICAL CO";"COM";" "
"277432 90 0";"";"EASTMAN CHEMICAL CO";"CALL";" "
"277432 95 0";"";"EASTMAN CHEMICAL CO";"PUT";" "
"277461 40 6";"*";"EASTMAN KODAK CO";"COM NEW";" "
"277461 90 6";"";"EASTMAN KODAK CO";"CALL";" "
"277461 95 6";"";"EASTMAN KODAK CO";"PUT";" "
"277802 30 2";"";"EASTSIDE DISTILLING INC";"COM PAR";" "
"27826F 10 1";"";"EATON VANCE CA MUNI INCOME T";"SH BEN INT";" "
"27826S 10 3";"";"EATON VANCE SR INCOME TR";"SH BEN INT";" "
"27826U 10 8";"";"EATON VANCE MUNI INCOME TRUS";"SH BEN INT";" "
"27826W 10 4";"";"EATON VANCE NY MUNI INCOME T";"SH BEN INT";" "
"278265 10 3";"*";"EATON VANCE CORP";"COM NON VTG";" "
"278265 90 3";"";"EATON VANCE CORP";"CALL";" "
"278265 95 3";"";"EATON VANCE CORP";"PUT";" "
"27827X 10 1";"";"EATON VANCE MUN BD FD";"COM";" "
"27827Y 10 9";"";"EATON VANCE NEW YORK MUN BD";"COM";" "
"278274 10 5";"";"EATON VANCE ENHANCED EQ INC";"COM";" "
"278277 10 8";"";"EATON VANCE ENH EQTY INC FD";"COM";" "
"278279 10 4";"";"EATON VANCE FLTING RATE INC";"COM";" "
"27828A 10 0";"";"EATON VANCE CALIF MUN BD FD";"COM";" "
"27828G 10 7";"";"EATON VANCE TAX ADVT DIV INC";"COM";" "
"27828H 10 5";"";"EATON VANCE LTD DUR INCOME F";"COM";" "
"27828N 10 2";"";"EATON VANCE TX MGD DIV EQ IN";"COM";" "
"27828Q 10 5";"";"EATON VANCE SR FLTNG RTE TR";"COM";" "
"27828S 10 1";"";"EATON VANCE TX ADV GLBL DIV";"COM";" "
"27828U 10 6";"";"EATON VANCE TX ADV GLB DIV O";"COM";" "
"27828V 10 4";"";"EATON VANCE SH TM DR DIVR IN";"COM";""
"27828X 10 0";"";"EATON VANCE TAX MNGED BUY WR";"COM";""
"27828Y 10 8";"";"EATON VANCE TX MNG BY WRT OP";"COM";""
"278284 10 4";"";"EATON VANCE FLTG RATE INCOM";"COM SHS BEN INT";""
"27829C 10 5";"";"EATON VANCE TXMGD GL BUYWR O";"COM";""
"27829F 10 8";"";"EATON VANCE TAX MNGD GBL DV";"COM";""
"27829G 10 6";"";"EATON VANCE RISK MNGD DIV EQ";"COM";""
"27829L 10 5";"";"EATON VANCE NATL MUN OPPORT";"COM SHS";""
"27829M 10 3";"";"EATON VANCE TAX MNGD BUY WRI";"COM SH BEN INT";""
"27829U 10 5";"";"EATON VANCE MUN INCOME 2028";"SHS";""
"27829W 10 1";"";"EATON VANCE HIGH INCOME 2021";"COM SH BEN INT";""
"27831H 10 0";"";"EATON VANCE FLTNG RATE 2022";"COM";""
"278642 10 3";"*";"EBAY INC";"COM";""
"278642 90 3";"";"EBAY INC";"CALL";""
"278642 95 3";"";"EBAY INC";"PUT";""
"278715 20 6";"*";"EBIX INC";"COM NEW";""
"278715 90 6";"";"EBIX INC";"CALL";""
"278715 95 6";"";"EBIX INC";"PUT";""
"27875T AA 9";"";"ECHO GLOBAL LOGISTICS INC";"NOTE  2.500% 5/0";""
"27875T 10 1";"*";"ECHO GLOBAL LOGISTICS INC";"COM";""
"27875T 90 1";"";"ECHO GLOBAL LOGISTICS INC";"CALL";""
"27875T 95 1";"";"ECHO GLOBAL LOGISTICS INC";"PUT";""
"278768 10 6";"*";"ECHOSTAR CORP";"CL A";""
"278768 90 6";"";"ECHOSTAR CORP";"CALL";""
"278768 95 6";"";"ECHOSTAR CORP";"PUT";""
"278865 10 0";"*";"ECOLAB INC";"COM";""
"278865 90 0";"";"ECOLAB INC";"CALL";""
"278865 95 0";"";"ECOLAB INC";"PUT";""
"278878 10 3";"";"ECOLOGY & ENVIRONMENT INC";"CL A";""
"279158 10 9";"*";"ECOPETROL S A";"SPONSORED ADS";""
"279158 90 9";"";"ECOPETROL S A";"CALL";""
"279158 95 9";"";"ECOPETROL S A";"PUT";""
"27966L 10 8";"";"EDESA BIOTECH INC";"COM";"ADDED"
"28035Q 10 2";"*";"EDGEWELL PERS CARE CO";"COM";""
"28035Q 90 2";"";"EDGEWELL PERS CARE CO";"CALL";" "
"28035Q 95 2";"";"EDGEWELL PERS CARE CO";"PUT";" "
"281020 10 7";"*";"EDISON INTL";"COM";" "
"281020 90 7";"";"EDISON INTL";"CALL";" "
"281020 95 7";"";"EDISON INTL";"PUT";" "
"28103E 10 6";"";"EDISON NATION INC";"COM";" "
"28106W 10 3";"*";"EDITAS MEDICINE INC";"COM";" "
"28106W 90 3";"";"EDITAS MEDICINE INC";"CALL";" "
"28106W 95 3";"";"EDITAS MEDICINE INC";"PUT";" "
"28138X 10 3";"";"EDTECHX HLDGS ACQUISITION CO";"COM";" "
"28138X 11 1";"";"EDTECHX HLDGS ACQUISITION CO";"*W EXP 12/31/202";" "
"28138X 20 2";"";"EDTECHX HLDGS ACQUISITION CO";"UNIT 12/31/2025";" "
"281479 10 5";"";"EDUCATIONAL DEV CORP";"COM";" "
"28176E 10 8";"*";"EDWARDS LIFESCIENCES CORP";"COM";" "
"28176E 90 8";"";"EDWARDS LIFESCIENCES CORP";"CALL";" "
"28176E 95 8";"";"EDWARDS LIFESCIENCES CORP";"PUT";" "
"28225C 80 6";"*";"EGAIN CORP";"COM NEW";" "
"28225C 90 6";"";"EGAIN CORP";"CALL";" "
"28225C 95 6";"";"EGAIN CORP";"PUT";" "
"28238P 10 9";"*";"EHEALTH INC";"COM";" "
"28238P 90 9";"";"EHEALTH INC";"CALL";" "
"28238P 95 9";"";"EHEALTH INC";"PUT";" "
"28249H 10 4";"";"EIDOS THERAPEUTICS INC";"COM";" "
"28249U 10 5";"*";"EIGER BIOPHARMACEUTICALS INC";"COM";" "
"28249U 90 5";"";"EIGER BIOPHARMACEUTICALS INC";"CALL";" "
"28249U 95 5";"";"EIGER BIOPHARMACEUTICALS INC";"PUT";" "
"28252W 10 5";"";"1895 BANCORP OF WIS INC";"COM";" "
"282644 20 2";"*";"EKSO BIONICS HLDGS INC";"COM NEW";" "
"282644 90 2";"";"EKSO BIONICS HLDGS INC";"CALL";" "
"282644 95 2";"";"EKSO BIONICS HLDGS INC";"PUT";" "
"282914 10 0";"*";"8X8 INC NEW";"COM";" "
"282914 90 0";"";"8X8 INC NEW";"CALL";" "
"282914 95 0";"";"8X8 INC NEW";"PUT";" "
"283677 85 4";"*";"EL PASO ELEC CO";"COM NEW";" "
"283677 90 4";"";"EL PASO ELEC CO";"CALL";""
"283677 95 4";"";"EL PASO ELEC CO";"PUT";""
"283678 20 9";"";"EL PASO ENERGY CAP TR I";"PFD CV TR SECS";""
"28414H 10 3";"*";"ELANCO ANIMAL HEALTH INC";"COM";""
"28414H 90 3";"";"ELANCO ANIMAL HEALTH INC";"CALL";""
"28414H 95 3";"";"ELANCO ANIMAL HEALTH INC";"PUT";""
"28470R 10 2";"*";"ELDORADO RESORTS INC";"COM";""
"28470R 90 2";"";"ELDORADO RESORTS INC";"CALL";""
"28470R 95 2";"";"ELDORADO RESORTS INC";"PUT";""
"284849 11 4";"";"ELECTRAMECCANICA VEHS CORP";"*W EXP 08/03/202";""
"284849 20 5";"*";"ELECTRAMECCANICA VEHS CORP";"COM NEW";""
"284849 90 5";"";"ELECTRAMECCANICA VEHS CORP";"CALL";""
"284849 95 5";"";"ELECTRAMECCANICA VEHS CORP";"PUT";""
"284902 50 9";"*";"ELDORADO GOLD CORP NEW";"COM";""
"284902 90 9";"";"ELDORADO GOLD CORP NEW";"CALL";""
"284902 95 9";"";"ELDORADO GOLD CORP NEW";"PUT";""
"285233 10 2";"";"ELECTRO-SENSORS INC";"COM";""
"28531P 10 3";"";"ELECTROCORE INC";"COM";""
"285409 10 8";"";"ELECTROMED INC";"COM";""
"285512 10 9";"*";"ELECTRONIC ARTS INC";"COM";""
"285512 90 9";"";"ELECTRONIC ARTS INC";"CALL";""
"285512 95 9";"";"ELECTRONIC ARTS INC";"PUT";""
"286082 AC 6";"";"ELECTRONICS FOR IMAGING INC";"NOTE  0.750% 9/0";""
"286082 10 2";"*";"ELECTRONICS FOR IMAGING INC";"COM";""
"286082 90 2";"";"ELECTRONICS FOR IMAGING INC";"CALL";""
"286082 95 2";"";"ELECTRONICS FOR IMAGING INC";"PUT";""
"28618M 10 6";"*";"ELEMENT SOLUTIONS INC";"COM";""
"28618M 90 6";"";"ELEMENT SOLUTIONS INC";"CALL";""
"28618M 95 6";"";"ELEMENT SOLUTIONS INC";"PUT";""
"28621V 10 1";"";"ELEVATE CREDIT INC";"COM";""
"28849P 10 0";"*";"ELLIE MAE INC";"COM";"DELETED"
"28849P 90 0";"";"ELLIE MAE INC";"CALL";"DELETED"
"28849P 95 0";"";"ELLIE MAE INC";"PUT";"DELETED"
"28852N 10 9";"*";"ELLINGTON FINANCIAL INC";"COM";""
"28852N 90 9";"";"ELLINGTON FINANCIAL INC";"CALL";""
"28852N 95 9";"";"ELLINGTON FINANCIAL INC";"PUT";""
"288578 10 7";"";"ELLINGTON RESIDENTIAL MTG RE";"COM SHS BEN INT";""
"289074 10 6";"";"ELLSWORTH GRWTH AND INCOME L";"COM";""
"289660 10 2";"";"ELMIRA SVGS BK ELMIRA N Y";"COM";""
"29014R 10 3";"";"ELOXX PHARMACEUTICALS INC";"COM";""
"29076N 20 6";"*";"EMAGIN CORP";"COM NEW";""
"29076N 90 6";"";"EMAGIN CORP";"CALL";""
"29076N 95 6";"";"EMAGIN CORP";"PUT";""
"29081P 20 4";"";"EMBOTELLADORA ANDINA S A";"SPON ADR A";""
"29081P 30 3";"";"EMBOTELLADORA ANDINA S A";"SPON ADR B";""
"29082A 10 7";"*";"EMBRAER S A";"SPONSORED ADS";""
"29082A 90 7";"";"EMBRAER S A";"CALL";""
"29082A 95 7";"";"EMBRAER S A";"PUT";""
"290828 10 2";"";"EMCLAIRE FINL CORP";"COM";""
"29084Q 10 0";"*";"EMCOR GROUP INC";"COM";""
"29084Q 90 0";"";"EMCOR GROUP INC";"CALL";""
"29084Q 95 0";"";"EMCOR GROUP INC";"PUT";""
"290846 20 3";"*";"EMCORE CORP";"COM NEW";""
"290846 90 3";"";"EMCORE CORP";"CALL";""
"290846 95 3";"";"EMCORE CORP";"PUT";""
"29089Q 10 5";"*";"EMERGENT BIOSOLUTIONS INC";"COM";""
"29089Q 90 5";"";"EMERGENT BIOSOLUTIONS INC";"CALL";""
"29089Q 95 5";"";"EMERGENT BIOSOLUTIONS INC";"PUT";""
"291011 10 4";"*";"EMERSON ELEC CO";"COM";""
"291011 90 4";"";"EMERSON ELEC CO";"CALL";""
"291011 95 4";"";"EMERSON ELEC CO";"PUT";""
"29102H 10 8";"*";"EMERGE ENERGY SVCS LP";"COM REP PARTN";"DELETED"
"29102H 90 8";"";"EMERGE ENERGY SVCS LP";"CALL";"DELETED"
"29102H 95 8";"";"EMERGE ENERGY SVCS LP";"PUT";"DELETED"
"29103B 10 0";"*";"EMERALD EXPOSITIONS EVENTS I";"COM";""
"29103B 90 0";"";"EMERALD EXPOSITIONS EVENTS I";"CALL";""
"29103B 95 0";"";"EMERALD EXPOSITIONS EVENTS I";"PUT";""
"291087 20 3";"*";"EMERSON RADIO CORP";"COM NEW";""
"291087 90 3";"";"EMERSON RADIO CORP";"CALL";" "
"291087 95 3";"";"EMERSON RADIO CORP";"PUT";" "
"291525 40 0";"*";"EMMIS COMMUNICATIONS CORP";"COM NEW CL A";" "
"291525 90 0";"";"EMMIS COMMUNICATIONS CORP";"CALL";" "
"291525 95 0";"";"EMMIS COMMUNICATIONS CORP";"PUT";" "
"292052 30 5";"*";"EMPIRE RESORTS INC";"COM PAR $0 01";" "
"292052 90 5";"";"EMPIRE RESORTS INC";"CALL";" "
"292052 95 5";"";"EMPIRE RESORTS INC";"PUT";" "
"292102 10 0";"";"EMPIRE ST RLTY OP L P";"UNIT LTD PRTNSP";" "
"292102 20 9";"";"EMPIRE ST RLTY OP L P";"UNIT LTD PRT 60";" "
"292102 30 8";"";"EMPIRE ST RLTY OP L P";"UNIT LTD PRT 250";" "
"292104 10 6";"*";"EMPIRE ST RLTY TR INC";"CL A";" "
"292104 90 6";"";"EMPIRE ST RLTY TR INC";"CALL";" "
"292104 95 6";"";"EMPIRE ST RLTY TR INC";"PUT";" "
"292218 10 4";"*";"EMPLOYERS HOLDINGS INC";"COM";" "
"292218 90 4";"";"EMPLOYERS HOLDINGS INC";"CALL";" "
"292218 95 4";"";"EMPLOYERS HOLDINGS INC";"PUT";" "
"29244A 10 2";"";"EMPRESA DIST Y COMERCIAL NOR";"SPON ADR";" "
"292480 10 0";"*";"ENABLE MIDSTREAM PARTNERS LP";"COM UNIT RP IN";" "
"292480 90 0";"";"ENABLE MIDSTREAM PARTNERS LP";"CALL";" "
"292480 95 0";"";"ENABLE MIDSTREAM PARTNERS LP";"PUT";" "
"29250N 10 5";"*";"ENBRIDGE INC";"COM";" "
"29250N 90 5";"";"ENBRIDGE INC";"CALL";" "
"29250N 95 5";"";"ENBRIDGE INC";"PUT";" "
"292505 10 4";"*";"ENCANA CORP";"COM";" "
"292505 90 4";"";"ENCANA CORP";"CALL";" "
"292505 95 4";"";"ENCANA CORP";"PUT";" "
"29251M 10 6";"*";"ENANTA PHARMACEUTICALS INC";"COM";" "
"29251M 90 6";"";"ENANTA PHARMACEUTICALS INC";"CALL";" "
"29251M 95 6";"";"ENANTA PHARMACEUTICALS INC";"PUT";" "
"292554 AF 9";"";"ENCORE CAP GROUP INC";"NOTE  3.000% 7/0";" "
"292554 AH 5";"";"ENCORE CAP GROUP INC";"NOTE  2.875% 3/1";" "
"292554 AK 8";"";"ENCORE CAP GROUP INC";"NOTE  3.250% 3/1";" "
"292554 10 2";"*";"ENCORE CAP GROUP INC";"COM";" "
"292554 90 2";"";"ENCORE CAP GROUP INC";"CALL";" "
"292554 95 2";"";"ENCORE CAP GROUP INC";"PUT";" "
"292562 10 5";"*";"ENCORE WIRE CORP";"COM";" "
"292562 90 5";"";"ENCORE WIRE CORP";"CALL";" "
"292562 95 5";"";"ENCORE WIRE CORP";"PUT";" "
"29258Y 10 3";"*";"ENDEAVOUR SILVER CORP";"COM";" "
"29258Y 90 3";"";"ENDEAVOUR SILVER CORP";"CALL";" "
"29258Y 95 3";"";"ENDEAVOUR SILVER CORP";"PUT";" "
"29260U AA 5";"";"ENCORE CAP EUROPE FIN LTD";"NOTE  4.500% 9/0";" "
"29260V 10 5";"";"ENDAVA PLC";"ADS";" "
"29261A 10 0";"*";"ENCOMPASS HEALTH CORP";"COM";" "
"29261A 90 0";"";"ENCOMPASS HEALTH CORP";"CALL";" "
"29261A 95 0";"";"ENCOMPASS HEALTH CORP";"PUT";" "
"29266S AB 2";"";"ENDOLOGIX INC";"NOTE  3.250%11/0";" "
"29266S 30 4";"*";"ENDOLOGIX INC";"COM NEW";" "
"29266S 90 4";"";"ENDOLOGIX INC";"CALL";" "
"29266S 95 4";"";"ENDOLOGIX INC";"PUT";" "
"292671 17 9";"";"ENERGY FUELS INC";"*W EXP 09/20/202";" "
"292671 70 8";"*";"ENERGY FUELS INC";"COM NEW";" "
"292671 90 8";"";"ENERGY FUELS INC";"CALL";" "
"292671 95 8";"";"ENERGY FUELS INC";"PUT";" "
"29268T 30 0";"*";"ENERGY FOCUS INC";"COM NEW";" "
"29268T 90 0";"";"ENERGY FOCUS INC";"CALL";" "
"29268T 95 0";"";"ENERGY FOCUS INC";"PUT";" "
"29270J 10 0";"*";"ENERGY RECOVERY INC";"COM";" "
"29270J 90 0";"";"ENERGY RECOVERY INC";"CALL";" "
"29270J 95 0";"";"ENERGY RECOVERY INC";"PUT";" "
"29272B 10 5";"*";"ENDURANCE INTL GROUP HLDGS I";"COM";" "
"29272B 90 5";"";"ENDURANCE INTL GROUP HLDGS I";"CALL";" "
"29272B 95 5";"";"ENDURANCE INTL GROUP HLDGS I";"PUT";" "
"29272C 10 3";"*";"ENERGOUS CORP";"COM";" "
"29272C 90 3";"";"ENERGOUS CORP";"CALL";" "
"29272C 95 3";"";"ENERGOUS CORP";"PUT";" "
"29272W 10 9";"*";"ENERGIZER HLDGS INC NEW";"COM";" "
"29272W 90 9";"";"ENERGIZER HLDGS INC NEW";"CALL";""
"29272W 95 9";"";"ENERGIZER HLDGS INC NEW";"PUT";""
"29272W 20 8";"";"ENERGIZER HLDGS INC NEW";"7.5 MCNV PFD A";""
"29273B 10 4";"";"ENDRA LIFE SCIENCES INC";"COM";""
"29273B 11 2";"";"ENDRA LIFE SCIENCES INC";"*W EXP 05/08/202";""
"29273V 10 0";"*";"ENERGY TRANSFER LP";"COM UT LTD PTN";""
"29273V 90 0";"";"ENERGY TRANSFER LP";"CALL";""
"29273V 95 0";"";"ENERGY TRANSFER LP";"PUT";""
"29274F 10 4";"*";"ENEL AMERICAS S A";"SPONSORED ADR";""
"29274F 90 4";"";"ENEL AMERICAS S A";"CALL";""
"29274F 95 4";"";"ENEL AMERICAS S A";"PUT";""
"29274F 13 8";"";"ENEL AMERICAS S A";"RIGHT 07/25/2019";"ADDED"
"29275Y 10 2";"*";"ENERSYS";"COM";""
"29275Y 90 2";"";"ENERSYS";"CALL";""
"29275Y 95 2";"";"ENERSYS";"PUT";""
"292766 10 2";"*";"ENERPLUS CORP";"COM";""
"292766 90 2";"";"ENERPLUS CORP";"CALL";""
"292766 95 2";"";"ENERPLUS CORP";"PUT";""
"29278D 10 5";"*";"ENEL CHILE S A";"SPONSORED ADR";""
"29278D 90 5";"";"ENEL CHILE S A";"CALL";""
"29278D 95 5";"";"ENEL CHILE S A";"PUT";""
"293306 10 6";"*";"ENGLOBAL CORP";"COM";""
"293306 90 6";"";"ENGLOBAL CORP";"CALL";""
"293306 95 6";"";"ENGLOBAL CORP";"PUT";""
"29336T 10 0";"*";"ENLINK MIDSTREAM LLC";"COM UNIT REP LTD";""
"29336T 90 0";"";"ENLINK MIDSTREAM LLC";"CALL";""
"29336T 95 0";"";"ENLINK MIDSTREAM LLC";"PUT";""
"293389 10 2";"*";"ENNIS INC";"COM";""
"293389 90 2";"";"ENNIS INC";"CALL";""
"293389 95 2";"";"ENNIS INC";"PUT";""
"29350E 10 4";"";"ENOCHIAN BIOSCIENCES INC";"COM";""
"29355A 10 7";"*";"ENPHASE ENERGY INC";"COM";""
"29355A 90 7";"";"ENPHASE ENERGY INC";"CALL";""
"29355A 95 7";"";"ENPHASE ENERGY INC";"PUT";""
"29355X 10 7";"*";"ENPRO INDS INC";"COM";" "
"29355X 90 7";"";"ENPRO INDS INC";"CALL";" "
"29355X 95 7";"";"ENPRO INDS INC";"PUT";" "
"29357K 10 3";"*";"ENOVA INTL INC";"COM";" "
"29357K 90 3";"";"ENOVA INTL INC";"CALL";" "
"29357K 95 3";"";"ENOVA INTL INC";"PUT";" "
"29358P 10 1";"*";"ENSIGN GROUP INC";"COM";" "
"29358P 90 1";"";"ENSIGN GROUP INC";"CALL";" "
"29358P 95 1";"";"ENSIGN GROUP INC";"PUT";" "
"29358Y 10 2";"*";"ENSERVCO CORP";"COM";" "
"29358Y 90 2";"";"ENSERVCO CORP";"CALL";" "
"29358Y 95 2";"";"ENSERVCO CORP";"PUT";" "
"29359W AB 1";"";"ENSCO JERSEY FIN LTD";"NOTE  3.000% 1/3";" "
"293614 10 3";"";"ENTASIS THERAPEUTICS HLDGS I";"COM";" "
"29362U 10 4";"*";"ENTEGRIS INC";"COM";" "
"29362U 90 4";"";"ENTEGRIS INC";"CALL";" "
"29362U 95 4";"";"ENTEGRIS INC";"PUT";" "
"29363J 10 8";"";"ENTEGRA FINL CORP";"COM";" "
"293639 10 0";"*";"ENTERCOM COMMUNICATIONS CORP";"CL A";" "
"293639 90 0";"";"ENTERCOM COMMUNICATIONS CORP";"CALL";" "
"293639 95 0";"";"ENTERCOM COMMUNICATIONS CORP";"PUT";" "
"29364G 10 3";"*";"ENTERGY CORP NEW";"COM";" "
"29364G 90 3";"";"ENTERGY CORP NEW";"CALL";" "
"29364G 95 3";"";"ENTERGY CORP NEW";"PUT";" "
"293668 10 9";"";"ENTERPRISE BANCORP INC MASS";"COM";" "
"293712 10 5";"*";"ENTERPRISE FINL SVCS CORP";"COM";" "
"293712 90 5";"";"ENTERPRISE FINL SVCS CORP";"CALL";" "
"293712 95 5";"";"ENTERPRISE FINL SVCS CORP";"PUT";" "
"293792 10 7";"*";"ENTERPRISE PRODS PARTNERS L";"COM";" "
"293792 90 7";"";"ENTERPRISE PRODS PARTNERS L";"CALL";" "
"293792 95 7";"";"ENTERPRISE PRODS PARTNERS L";"PUT";" "
"29382R 10 7";"*";"ENTRAVISION COMMUNICATIONS C";"CL A";" "
"29382R 90 7";"";"ENTRAVISION COMMUNICATIONS C";"CALL";" "
"29382R 95 7";"";"ENTRAVISION COMMUNICATIONS C";"PUT";" "
"293828 80 2";"";"ENTREPRENEURSHARES SER TRUST";"ERSHARES 30 ETF";""
"293828 88 5";"";"ENTREPRENEURSHARES SER TRUST";"NON US SML CP";""
"29384J 10 3";"*";"ENTREE RES LTD";"COM";""
"29384J 90 3";"";"ENTREE RES LTD";"CALL";""
"29384J 95 3";"";"ENTREE RES LTD";"PUT";""
"29404K AA 4";"";"ENVESTNET INC";"NOTE  1.750%12/1";""
"29404K AB 2";"";"ENVESTNET INC";"NOTE  1.750% 6/0";"ADDED"
"29404K 10 6";"*";"ENVESTNET INC";"COM";""
"29404K 90 6";"";"ENVESTNET INC";"CALL";""
"29404K 95 6";"";"ENVESTNET INC";"PUT";""
"294100 10 2";"*";"ENZO BIOCHEM INC";"COM";""
"294100 90 2";"";"ENZO BIOCHEM INC";"CALL";""
"294100 95 2";"";"ENZO BIOCHEM INC";"PUT";""
"29413Q 11 0";"";"ENVISION SOLAR INTL INC";"*W EXP 12/30/202";"ADDED"
"29413Q 20 1";"";"ENVISION SOLAR INTL INC";"COM";"ADDED"
"29414B 10 4";"*";"EPAM SYS INC";"COM";""
"29414B 90 4";"";"EPAM SYS INC";"CALL";""
"29414B 95 4";"";"EPAM SYS INC";"PUT";""
"29414J 10 7";"*";"ENVIVA PARTNERS LP";"COM UNIT";""
"29414J 90 7";"";"ENVIVA PARTNERS LP";"CALL";""
"29414J 95 7";"";"ENVIVA PARTNERS LP";"PUT";""
"294268 10 7";"*";"EPLUS INC";"COM";""
"294268 90 7";"";"EPLUS INC";"CALL";""
"294268 95 7";"";"EPLUS INC";"PUT";""
"29428V 10 4";"*";"EPIZYME INC";"COM";""
"29428V 90 4";"";"EPIZYME INC";"CALL";""
"29428V 95 4";"";"EPIZYME INC";"PUT";""
"294375 20 9";"";"EPSILON ENERGY LTD";"COM";""
"294429 10 5";"*";"EQUIFAX INC";"COM";""
"294429 90 5";"";"EQUIFAX INC";"CALL";""
"294429 95 5";"";"EQUIFAX INC";"PUT";""
"29444U 70 0";"*";"EQUINIX INC";"COM";""
"29444U 90 0";"";"EQUINIX INC";"CALL";""
"29444U 95 0";"";"EQUINIX INC";"PUT";""
"29446K 10 6";"";"EQUILLIUM INC";"COM";" "
"29446M 10 2";"*";"EQUINOR ASA";"SPONSORED ADR";" "
"29446M 90 2";"";"EQUINOR ASA";"CALL";" "
"29446M 95 2";"";"EQUINOR ASA";"PUT";" "
"29460X 10 9";"";"EQUITY BANCSHARES INC";"COM CL A";" "
"294600 10 1";"*";"EQUITRANS MIDSTREAM CORPORAT";"COM";" "
"294600 90 1";"";"EQUITRANS MIDSTREAM CORPORAT";"CALL";" "
"294600 95 1";"";"EQUITRANS MIDSTREAM CORPORAT";"PUT";" "
"294628 10 2";"*";"EQUITY COMWLTH";"COM SH BEN INT";" "
"294628 90 2";"";"EQUITY COMWLTH";"CALL";" "
"294628 95 2";"";"EQUITY COMWLTH";"PUT";" "
"294628 20 1";"";"EQUITY COMWLTH";"CUM PFD S D 6.5%";" "
"29472R 10 8";"*";"EQUITY LIFESTYLE PPTYS INC";"COM";" "
"29472R 90 8";"";"EQUITY LIFESTYLE PPTYS INC";"CALL";" "
"29472R 95 8";"";"EQUITY LIFESTYLE PPTYS INC";"PUT";" "
"29476L 10 7";"*";"EQUITY RESIDENTIAL";"SH BEN INT";" "
"29476L 90 7";"";"EQUITY RESIDENTIAL";"CALL";" "
"29476L 95 7";"";"EQUITY RESIDENTIAL";"PUT";" "
"294766 10 0";"";"EQUUS TOTAL RETURN INC";"COM";" "
"294821 60 8";"*";"ERICSSON";"ADR B SEK 10";" "
"294821 90 8";"";"ERICSSON";"CALL";" "
"294821 95 8";"";"ERICSSON";"PUT";" "
"29530P 10 2";"*";"ERIE INDTY CO";"CL A";" "
"29530P 90 2";"";"ERIE INDTY CO";"CALL";" "
"29530P 95 2";"";"ERIE INDTY CO";"PUT";" "
"29604W 10 8";"";"ERYTECH PHARMA";"SPONSORED ADR";" "
"296056 10 4";"*";"ESCALADE INC";"COM";" "
"296056 90 4";"";"ESCALADE INC";"CALL";" "
"296056 95 4";"";"ESCALADE INC";"PUT";" "
"296315 10 4";"*";"ESCO TECHNOLOGIES INC";"COM";" "
"296315 90 4";"";"ESCO TECHNOLOGIES INC";"CALL";" "
"296315 95 4";"";"ESCO TECHNOLOGIES INC";"PUT";" "
"29664W 10 5";"*";"ESPERION THERAPEUTICS INC NE";"COM";" "
"29664W 90 5";"";"ESPERION THERAPEUTICS INC NE";"CALL";" "
"29664W 95 5";"";"ESPERION THERAPEUTICS INC NE";"PUT";""
"296650 10 4";"";"ESPEY MFG & ELECTRS CORP";"COM";""
"29667D 10 4";"";"ESSA BANCORP INC";"COM";""
"29667J 10 1";"";"ESQUIRE FINL HLDGS INC";"COM";""
"29668H 70 8";"";"ESSA PHARMA INC";"COM NEW";""
